O/C,CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,CENSUS,WITHD,LST NM,FST NM,
O,62720,HUM,115,602,World Mythology: GT-AH2,3,TR,0500PM,0615PM,FLARMR,MP102,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,64737,HUM,115,603,World Mythology: GT-AH2,3,MWF,0900AM,0950AM,FLARMR,BP110,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60563,HUM,121,601,Humanities: Early Civ: GT-AH2,3,MWF,0900AM,0950AM,FLARMR,BP136,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,64447,HUM,121,602,Humanities: Early Civ: GT-AH2,3,TR,0100PM,0215PM,FLARMR,BP152,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60564,HUM,121,641,Humanities: Early Civ: GT-AH2,3,MW,0100PM,0150PM,FLARMR,BP136,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60564,HUM,121,641,Humanities: Early Civ: GT-AH2,3,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60565,HUM,122,601,Humanities: Mediev-Mod: GT-AH2,3,MWF,1100AM,1150AM,FLARMR,BP136,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,61791,HUM,122,602,Humanities: Mediev-Mod: GT-AH2,3,TR,1125AM,1240PM,FLARMR,BP136,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,62579,HUM,123,601,Humanities: Modern Wrld:GT-AH2,3,TR,0225PM,0340PM,FLARMR,BP136,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,61271,IND,105,641,Intro to Interior Design,3,MW,1015AM,1215PM,FLARMR,RP135,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,61271,IND,105,641,Intro to Interior Design,3,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63937,IND,112,641,Graphic Communication,4,F,1245PM,0445PM,FLARMR,RP135,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
